CID,Compound_Name,SMILES,Flavor_Description,Source
196,adipic acid,C(CCC(=O)O)CC(=O)O,odorless; odorless,FlavorDB
197,adenosine_diphosphate,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,sweet,FlavorDB
206,hexopyranose,C(C1C(C(C(C(O1)O)O)O)O)O,sweet,FlavorDB
222,ammonia,N,pungent;repellent;characteristic;irritating;dry;urine;cloying; ammonia,FlavorDB
224,9-(5-o-phosphonopentofuranosyl)-9h-purin-6-amine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,sweet,FlavorDB
228,schembl4292820,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,sweet,FlavorDB
229,pentopyranose,C1C(C(C(C(O1)O)O)O)O,sweet,FlavorDB
238,triphosadenine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,sweet,FlavorDB
239,beta-alanine,C(CN)C(=O)O,sweet;odorless,FlavorDB
240,benzaldehyde,C1=CC=C(C=C1)C=O,volatile;characteristic;oil;almond;bitter; sugar;almond;malt;sweet;roasted;burnt;cherry;pepper;bitter,FlavorDB
243,benzoic acid,C1=CC=C(C=C1)C(=O)O,pleasant;benzaldehyde;odorless; urine;balsam;pungent;sour,FlavorDB
244,benzyl alcohol,C1=CC=C(C=C1)CO,aromatic; bread;rose;walnut;balsamic;floral;flowery;phenolic;moss;grapefruit;sweet;roasted;boiled;berry;cherry,FlavorDB
247,betaine,C[N+](C)(C)CC(=O)[O-],savory;bland;umami,FlavorDB
261,butyraldehyde,CCCC=O,characteristic;aldehydic;pungent; creamy;meaty;cocoa;chocolate;malt;spicy;floral;citrus;banana;woody;musty;earthy;fatty;wine;apple;vegetable;bread;pungent;green;nutty;herbal;fruity;pear,FlavorDB
262,"2,3-butanediol",CC(C(C)O)O,odorless; creamy;onion;fruity;buttery,FlavorDB
263,1-butanol,CCCCO,amyl;rancid;characteristic;sweet;banana;alcohol;fusel; vanilla;oil;fruity;sweet;balsam;medicinal;fusel,FlavorDB
264,butyric acid,CCCC(=O)O,rancid;unpleasant;obnoxious; cheese;rancid;fruity;sweaty;buttery;acetic;sour,FlavorDB
274,acrasin,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,sweet,FlavorDB
280,carbon dioxide,C(=O)=O,odorless;pungent; odorless,FlavorDB
284,formic acid,C(=O)O,pungent; savory;vinegar;pungent;formyl,FlavorDB
294,cellobiose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,odorless; sweet,FlavorDB
309,aconitic acid,C(C(=CC(=O)O)C(=O)O)C(=O)O,nutty;musty,FlavorDB
311,citric acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,odorless; odorless,FlavorDB
313,hydrochloric acid,Cl,pungent;irritating,FlavorDB
323,coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,vanilla;bittersweet;pleasant;beany;hay;fragrant; hay;mown;tonka;green;sweet;new;bitter,FlavorDB
325,4-isopropylbenzyl alcohol,CC(C)C1=CC=C(C=C1)CO,woody;cumin;leather;herbal;spicy;caraway,FlavorDB
326,4-isopropylbenzaldehyde,CC(C)C1=CC=C(C=C1)C=O,cumin;green;herbal;oil;spicy;acid,FlavorDB
332,2-methoxy-4-vinylphenol,COC1=C(C=CC(=C1)C=C)O,clove;spicy;curry;peanut;smoky,FlavorDB
335,o-cresol,CC1=CC=CC=C1O,sweet;tarry;phenolic; phenolic;medicinal;musty,FlavorDB
338,salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,synthetic;odorless;acid; nutty;phenolic,FlavorDB
342,m-cresol,CC1=CC(=CC=C1)O,tarry;empyreumatic;phenolic;sweet;distinctive;coal; woody;plastic;leather;phenolic;fecal;medicinal,FlavorDB
356,octane,CCCCCCCC,gasoline; gasoline;alkane,FlavorDB
370,gallic acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,bitter,FlavorDB
379,octanoic acid,CCCCCCCC(=O)O,irritating;unpleasant;fruity;acid; cheese;waxy;rancid;oil;sweaty;fatty;vegetable;grassy,FlavorDB
389,dl-ornithine,C(CC(C(=O)O)N)CN,green;bark,FlavorDB
402,hydrogen sulfide,S,odorless;oil;rotten;hydrocarbon;sulfur;egg; rotten;egg,FlavorDB
453,hexitol,C(C(C(C(C(CO)O)O)O)O)O,odorless; sweet,FlavorDB
454,octanal,CCCCCCCC=O,fruity; waxy;green;citrus;orange;fatty;lemon;soapy;aldehydic,FlavorDB
460,guaiacol,COC1=CC=CC=C1O,characteristic;aromatic;phenolic;sweet; vanilla;woody;phenolic;spicy;sweet;burnt;medicinal;smoky,FlavorDB
474,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dimethylamino hydrogen phosphate",CN(C)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,sweet,FlavorDB
508,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [hydroxy(phosphonooxy)phosphoryl] hydrogen phosphate",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,sweet,FlavorDB
527,propionaldehyde,CCC=O,pungent;characteristic;fruity;unpleasant;acetaldehyde;choking; floral;pungent;nutty;earthy;cocoa;whiskey;solvent;wine;alcohol,FlavorDB
602,dl-alanine,CC(C(=O)O)N,odorless; odorless,FlavorDB
604,"2,3,4,5,6-pentahydroxyhexanoic acid",C(C(C(C(C(C(=O)O)O)O)O)O)O,sweet,FlavorDB
612,lactic acid,CC(C(=O)O)O,acrid;odorless;unpleasant; odorless,FlavorDB
620,caa94508,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O,sweet,FlavorDB
621,"adenosine, 5'-phosphoric acid",C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,sweet,FlavorDB
622,2'-deoxyadenosine 5'-triphosphate disodium salt(datp),C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,sweet,FlavorDB
650,"2,3-butanedione",CC(=O)C(=O)C,buttery;quinone;solution;chlorine; creamy;pungent;pastry;oil;sweet;buttery;yeast;caramel,FlavorDB
653,2-hydroxy-3-[(2-hydroxy-4-oxochromen-3-yl)methyl]chromen-4-one,C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,bitter,FlavorDB
660,dihydrocoumarin,C1CC(=O)OC2=CC=CC=C21,hay;coumarin;coconut;nitrobenzene;herbal;reminiscent; creamy;tonka;cinnamon;coconut;coumarin;herbal;almond;sweet;dairy;tobacco,FlavorDB
670,"1,3-dihydroxyacetone",C(C(=O)CO)O,characteristic; minty;cool,FlavorDB
674,dimethylamine,CNC,fishy;ammonia,FlavorDB
679,dimethyl sulfoxide,CS(=O)C,garlic;distinctive;oyster;sulfur; cheese;oil;fatty;garlic;mushroom;bitter,FlavorDB
702,ethanol,CCO,wine;ethereal;whiskey;pleasant; sweet;medicinal;ethereal;alcohol,FlavorDB
704,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (5-amino-2,3,4-trihydroxypentyl) hydrogen phosphate",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC(C(C(CN)O)O)O)O)O)N,sweet,FlavorDB
743,glutaric acid,C(CC(=O)O)CC(=O)O,odorless,FlavorDB
750,glycine,C(C(=O)O)N,odorless; odorless;waxy;oil;fatty;sweet,FlavorDB
753,glycerol,C(C(CO)O)O,odorless; sweet;odorless,FlavorDB
768,hydrogen cyanide,C#N,sweet;characteristic;almond;bitter; bitter,FlavorDB
784,hydrogen peroxide,OO,ozone;odorless; bitter,FlavorDB
785,hydroquinone,C1=CC(=CC=C1O)O,odorless,FlavorDB
791,dl-isoleucine,CCC(C)C(C(=O)O)N,sweet;nutty;odorless,FlavorDB
798,indole,C1=CC=C2C(=C1)C=CN2,light;floral;pleasant;characteristic;fecal;jasmine;unpleasant;solution; mothball;floral;honey;jasmine;moth;naphthelene;fecal;fishy;animal;burnt,FlavorDB
802,indole-3-acetic acid,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,odorless;sour,FlavorDB
827,pentitol,C(C(C(C(CO)O)O)O)O,sweet,FlavorDB
840,deoxyhexose,CC1C(C(C(C(O1)O)O)O)O,sweet,FlavorDB
841,6-deoxy-l-sorbose,CC(C(C(C(=O)CO)O)O)O,sweet,FlavorDB
871,maltotriose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,sweet,FlavorDB
872,isomaltose,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,sweet,FlavorDB
875,dl-tartaric acid,C(C(C(=O)O)O)(C(=O)O)O,caramel,FlavorDB
876,dl-methionine,CSCCC(C(=O)O)N,savory;acidic;sulfur,FlavorDB
878,methanethiol,CS,disagreeable;pungent;cabbage;decayed;rotten;garlic;unpleasant;sulfide; pungent;cabbage;decayed;garlic;gasoline;sulfur,FlavorDB
880,methylglyoxal,CC(=O)C=O,pungent; brown;savory;ethereal;sweet;acidic;rum,FlavorDB
887,methanol,CO,characteristic;crude;alcohol;pungent; alcohol,FlavorDB
927,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (3,4-dihydroxyoxolan-2-yl)methyl hydrogen phosphate",C1C(C(C(O1)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O)O,sweet,FlavorDB
931,naphthalene,C1=CC=C2C=CC=CC2=C1,characteristic;aromatic;mothball; tarry;pungent;dry,FlavorDB
932,naringenin,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,can;bitter;reduce,FlavorDB
936,nicotinamide,C1=CC(=CN=C1)C(=O)N,odorless; odorless,FlavorDB
948,nitrous oxide,[N-]=[N+]=O,sweet;pleasant; odorless,FlavorDB
957,1-octanol,CCCCCCCCO,aromatic;rose;fresh;orange; rose;floral;metallic;waxy;green;almond;matches;fatty;aldehydic;chemical;mushroom;burnt;orange;bitter,FlavorDB
962,water,O,odorless; odorless,FlavorDB
964,3-hydroxypyruvic acid,C(C(=O)C(=O)O)O,savory;cabbage;radish;sour,FlavorDB
971,oxalic acid,C(=O)(C(=O)O)O,odorless,FlavorDB
984,hexadecanal,CCCCCCCCCCCCCCCC=O,cardboard,FlavorDB
985,palmitic acid,CCCCCCCCCCCCCCCC(=O)O,fatty;waxy,FlavorDB
990,paps tetraanion,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N,sweet,FlavorDB
994,dl-phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N,odorless,FlavorDB
996,phenol,C1=CC=C(C=C1)O,tarry;acrid;sickening;sweet;distinctive;aromatic; rubber;phenolic;plastic,FlavorDB
997,phenylpyruvic acid,C1=CC=C(C=C1)CC(=O)C(=O)O,green;weedy;honey;phenolic;almond;sweet;acidic,FlavorDB
998,phenylacetaldehyde,C1=CC=C(C=C1)CC=O,hawthorn;clover;floral;pungent;green;nutty;cocoa;honey;grapefruit;sweet;berry;geranium;hyacinth;peanut;bitter,FlavorDB
999,phenylacetic acid,C1=CC=C(C=C1)CC(=O)O,floral;honey;sweet;unpleasant;solution; flowery;civet;floral;honeysuckle;waxy;honey;sweet;caramel;sour,FlavorDB
1001,phenethylamine,C1=CC=C(C=C1)CCN,fishy; fishy;ammonia,FlavorDB
1004,phosphoric acid,OP(=O)(O)O,odorless; bland,FlavorDB
1008,"[5-[6-amino-1-[3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]purin-1-ium-9-yl]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,sweet,FlavorDB
1009,"6-amino-9-[3,4-dihydroxy-5-({[hydroxy({[hydroxy(phosphonooxy)phosphoryl]oxy})phosphoryl]oxy}methyl)oxolan-2-yl]-1-{3,4-dihydroxy-5-[(phosphonooxy)methyl]oxolan-2-yl}-9h-1$l^{5},3,7,9-purin-1-ylium",C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O,sweet,FlavorDB
1030,propylene glycol,CC(CO)O,odorless; alcohol;odorless,FlavorDB
1031,1-propanol,CCCO,ethanol; musty;pungent;candy;alcohol;fermented;peanut;fusel,FlavorDB
1032,propionic acid,CCC(=O)O,rancid;disagreeable;pungent; soy;vinegar;cheese;pungent;rancid;fruity;fatty;acidic;silage,FlavorDB
1048,pyrazole,C1=CNN=C1,bitter,FlavorDB
1049,pyridine,C1=CC=NC=C1,fishy;nauseating;sickening;burnt; putrid;rancid;sickening;amine;fishy;sour,FlavorDB
1060,pyruvic acid,CC(=O)C(=O)O,caramel;acetic;sour,FlavorDB
1068,dimethyl sulfide,CSC,cabbage;radish;wild;unpleasant; radish;green;corn;onion;cabbage;earthy;sweet;tomato;wet;gasoline;vegetable;wild;sulfur;organic,FlavorDB
1101,"1,3,4,5,6-pentahydroxyhexan-2-one",C(C(C(C(C(=O)CO)O)O)O)O,sweet,FlavorDB
1110,succinic acid,C(CC(=O)O)C(=O)O,odorless; odorless;sour,FlavorDB
1115,hex-2-ulofuranosyl hexopyranoside,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,characteristic;caramel;heated;odorless; sweet,FlavorDB
1119,sulfur dioxide,O=S=O,characteristic;irritating;pungent; bitter,FlavorDB
1123,taurine,C(CS(=O)(=O)O)N,odorless; bland;bitter,FlavorDB
1127,tetrahydrothiophene,C1CCSC1,cabbage,FlavorDB
1130,thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,characteristic; bitter,FlavorDB
1136,4-methyl-5-thiazoleethanol,CC1=C(SC=N1)CCO,nutty;cooked;fatty;juice;beef;sulfur,FlavorDB
1140,toluene,CC1=CC=CC=C1,sweet;pungent;benzene; sweet;paint,FlavorDB
1143,"2-(hydroxymethyl)-6-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxane-3,4,5-triol",C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O,sweet;used;can;low,FlavorDB
1145,trimethylamine n-oxide,C[N+](C)(C)[O-],odorless,FlavorDB
1146,trimethylamine,CN(C)C,pungent;amine;ammonia;low;fishy; rancid;fruity;oil;sweaty;fishy,FlavorDB
1182,dl-valine,CC(C)C(C(=O)O)N,odorless,FlavorDB
1183,vanillin,COC1=C(C=CC(=C1)C=O)O,sweet;vanilla;pleasant;aromatic; sweet;vanilla;creamy;chocolate,FlavorDB
1213,"octahydro-4,8a-dimethyl-4a(2h)-naphthol",CC1CCCC2(C1(CCCC2)O)C,musty;fresh;earthy;soil;beet,FlavorDB
1254,menthol,CC1CCC(C(C1)O)C(C)C,cooling;peppermint;menthol; camphor;minty;cool,FlavorDB
1467,ft-0773065,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)OP(=O)(O)O,sweet,FlavorDB
1491,"2,4-dihydroxybenzoic acid",C1=CC(=C(C=C1O)O)C(=O)O,phenolic,FlavorDB
1548,"[[[5-(6-amino-2-chloropurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl] phosphate",C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)Cl)N,sweet,FlavorDB
1549,"[[5-(6-amino-2-chloropurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)Cl)N,sweet,FlavorDB
1601,schembl12932304,C1C(OC(C1O)N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O,sweet,FlavorDB
1603,[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methyl phosphono hydrogen phosphate,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)OP(=O)(O)O)O)N,sweet,FlavorDB
1736,"2,3,5-trihydroxyhexanedioate",C(C(C(C(=O)[O-])O)O)C(C(=O)[O-])O,sweet,FlavorDB
1737,schembl21067861,C(C(C(C(=O)O)O)O)C(C(=O)O)O,sweet,FlavorDB
1813,[5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methyl phosphono hydrogen phosphate,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)OP(=O)(O)O)N,sweet,FlavorDB
1889,dl-liquiritigenin,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,bitter,FlavorDB
1907,"[5-[6-amino-8-(6-aminohexylamino)purin-9-yl]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",C1=NC(=C2C(=N1)N(C(=N2)NCCCCCCN)C3C(C(C(O3)COP(=O)(O)O)O)O)N,sweet,FlavorDB
1912,"6-(6-amino-8-bromopurin-9-yl)-2-oxido-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",C1C2C(C(C(O2)N3C4=NC=NC(=C4N=C3Br)N)O)OP(=O)(O1)[O-],sweet,FlavorDB
1913,"adenosine, 8-bromo-, cyclic 3',5'-(hydrogen phosphate)",C1C2C(C(C(O2)N3C4=NC=NC(=C4N=C3Br)N)O)OP(=O)(O1)O,sweet,FlavorDB
1914,"[5-[6-(bromoamino)purin-9-yl]-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)NBr,sweet,FlavorDB
1983,acetaminophen,CC(=O)NC1=CC=C(C=C1)O,odorless; bitter,FlavorDB
2024,"adenosine 2',3'-cyclic phosphate",C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N,sweet,FlavorDB
2027,chembl58764,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)OP(=O)(O)O)N,sweet,FlavorDB
2028,"atp,gamma s",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=S)(O)O)O)O)N,sweet,FlavorDB
2080,dl-alanyl-dl-phenylalanine,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,sweet,FlavorDB
2108,"2-(hydroxymethyl)-6-methoxyoxane-3,4,5-triol",COC1C(C(C(C(O1)CO)O)O)O,sweet,FlavorDB
2153,theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,odorless; bitter,FlavorDB
2164,amobarbital,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,odorless; bitter,FlavorDB
2180,amygdalin,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,bitter,FlavorDB
2194,anethole trithione,COC1=CC=C(C=C1)C2=CC(=S)SS2,bitter,FlavorDB
2206,antipyrine,CC1=CC(=O)N(N1C)C2=CC=CC=C2,bitter,FlavorDB
2214,acetovanillone,CC(=O)C1=CC(=C(C=C1)O)OC,sweet;vanilla;vanillin,FlavorDB
2230,arecoline,CN1CCC=C(C1)C(=O)OC,bitter,FlavorDB
2236,aristolochic acid,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,bitter,FlavorDB
2242,25548-16-7,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,odorless; sweet,FlavorDB
2251,"[[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl] hydrogen phosphate",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])O)O)N,sweet,FlavorDB
2265,azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],bitter,FlavorDB
2294,barbital,CCC1(C(=O)NC(=O)NC1=O)CC,bitter,FlavorDB
2331,benzamide,C1=CC=C(C=C1)C(=O)N,bitter,FlavorDB
2345,benzyl benzoate,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,aromatic;pleasant; pineapple;balsamic;strawberry;cheese;herbal;oil;almond;sweet;balsam;cherry,FlavorDB
2346,benzyl isothiocyanate,C1=CC=C(C=C1)CN=C=S,dusty;watercress;oil;horseradish;medicinal,FlavorDB
2353,berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,bitter,FlavorDB
2481,butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,bitter,FlavorDB
2483,"2',3,4,4'-tetrahydroxy chalcone",C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O,bitter,FlavorDB
2519,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,odorless; odorless;bitter,FlavorDB
2537,camphor,CC1(C2CCC1(C(=O)C2)C)C,aromatic;fragrant; camphor;minty;cool,FlavorDB
2576,carisoprodol,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,bitter,FlavorDB
2682,1-hexadecanol,CCCCCCCCCCCCCCCCO,odorless; flowery;floral;waxy,FlavorDB
2707,chloral hydrate,C(C(Cl)(Cl)Cl)(O)O,characteristic;acrid;aromatic;sweet; bitter,FlavorDB
2719,chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,odorless; bitter,FlavorDB
2725,chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,bitter,FlavorDB
2757,cinchonidine,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,bitter,FlavorDB
2758,eucalyptol,CC1(C2CCC(O1)(CC2)C)C,camphor; eucalyptol;minty;eucalyptus;camphor;herbal;sweet;cool;pepper,FlavorDB
2764,ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,bitter,FlavorDB
2879,p-cresol,CC1=CC=C(C=C1)O,sweet;tarry;phenolic; pungent;mimosa;narcissus;phenolic;animal;medicinal;smoky,FlavorDB
2955,dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,odorless; bitter,FlavorDB
2969,decanoic acid,CCCCCCCCCC(=O)O,rancid;unpleasant; dusty;citrus;rancid;fatty;unpleasant;grassy;sour,FlavorDB
2972,deferiprone,CC1=C(C(=O)C=CN1C)O,bitter,FlavorDB
2998,nonivamide,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,savory;bland;odorless,FlavorDB
3026,dibutyl phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,aromatic,FlavorDB
3033,diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,bitter,FlavorDB
3055,difenidol,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,odorless; bitter,FlavorDB
3100,diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,bitter,FlavorDB
3102,benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,sweet;rose;geranium; rose;metallic;floral;peach;powdery;balsam;geranium;apricot,FlavorDB
3104,"atp, alpha, beta methylene",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(CP(=O)(O)OP(=O)(O)O)O)O)O)N,sweet,FlavorDB
3108,dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,bitter,FlavorDB
3182,dyphylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,bitter,FlavorDB
3229,enoxacin,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,bitter,FlavorDB
